Manufacturer,Model,Image,Class,Cabin,Also Called,Country of Origin,regions sold
American LaFrance,American Lafrance Condor,,Medium,COE,-,United States,"United States, Canada, Mexico"
Agrale,Agrale 6500,,Light,COE,-,Brazil,"South America, Cuba"
Agrale,Agrale 8700,,Light,COE,Agrale 8700 TR,Brazil,"South America, Cuba"
Agrale,Agrale 10000,,Light,COE,-,Brazil,"South America, Cape Verde"
Agrale,Agrale 14000,,Light/Medium,COE,Agrale 14000 6x2,Brazil,"South America, Cape Verde"
AMW,AMW TP Series,,Heavy,COE,-,India,India
Ashok Leyland,Ashok Layland Avia,,Light,COE,-,India,"South Asia, Middle East, East Africa"
Ashok Leyland,Ashok Leyland U-Truck,,Heavy,COE,-,India,"South Asia, Middle East, East Africa"
Askam,Askam AS 950,,Medium,Conventional,-,Turkey,Turkey
Askam,Askam 8 Litre,,Heavy,COE,-,Turkey,"Turkey, Romania, Bulgaria"
Askam,Askam Hi-Ex,,Heavy,COE,-,Turkey,"Turkey, Romania, Bulgaria"
Astra,Astra HD9,,Heavy,COE,-,Italy,"Europe (except Germany, Sweden, Serbia)AfricaSouth America, Cuba, MexicoAsia (except India, Japan, South Korea)Ozeania"
AMW,AMW TR Series,,Heavy,COE,-,India,India
AMW,AMW HL Series,,Heavy,COE,-,India,India
AMW,AMW TM Series,,Heavy,COE,-,India,India
AMW,AMW CP Series,,Heavy,COE,-,India,India
Autocar,Autocar Xspotter,,Light,COE,-,United States,"United States, Canada, Mexico"
Autocar,Autocar Expert,,Medium,COE,-,United States,"United States, Canada, Mexico"
Autocar,Autocar Refuse,,Heavy,COE,-,United States,"United States, Canada, Mexico"
Avia Trucks,Avia D-Line,,Light,COE,-,Czech Republic,"Czech Republic, Germany, Russia"
BeiBen,BeiBen V3 Series,,Heavy,COE,-,China,"China, South Africa, Eastern Africa, Southeastern Asia"
BeiBen,BeiBen NG80 Series,,Heavy,COE,-,China,"China, South Africa, Eastern Africa, Southeastern Asia"
BeiBen,BeiBen Eurysome,,Heavy,COE,-,China,China
BeiBen,BeiBen Tiema Series,,Heavy,COE,-,China,China
Beijing Automobile Works,BAW Dragon Flag,,Light,COE,-,China,China
Beijing Automobile Works,BAW Bell,,Light,COE,-,China,China
BharatBenz,BharatBenz 914,,Light,COE,-,India/Germany,India
BharatBenz,BharatBenz 1214,,Medium,COE,-,India/Germany,India
BharatBenz,BharatBenz 2523,,Heavy,COE,-,India/Germany,India
BharatBenz,BharatBenz 3128,,Heavy,COE,-,India/Germany,India
BharatBenz,BharatBenz 3143,,Heavy,COE,-,India/Germany,India
BharatBenz,BharatBenz 3723,,Heavy,COE,-,India,India
Bryansk Automobile Plant,BAZ-69096,,Military Heavy,Cabin before engine,,Russia,Russia
Bryansk Automobile Plant,BAZ-69096 (civilian version),,Heavy,Cabin before engine,,Russia,Russia
Bryansk Automobile Plant,BAZ-64022,,Military Heavy,Cabin before engine,,Russia,Russia
BMC (Turkey),BMC Fatih,,Heavy,COE,-,Turkey,Turkey
BMC,BMC Profesyonel,,Light/Medium/Heavy,COE,-,Turkey,Turkey
Caterpillar,CAT CT660,,Heavy,Conventional,-,United States,"United States, Canada, Australia"
CEV,Might-E Truck,,Light,COE,-,Canada,"Canada, United States"
Chevrolet,Chevrolet NHR,,Light,COE,"Isuzu Grafter(United Kingdom), Isuzu Lingqingka (China), Isuzu Reward, Chevrolet N-Series, HICOM Perkasa",Japan,Columbia
Chevrolet,Chevrolet NKR,,Light,COE,"Isuzu Grafter(United Kingdom), Isuzu Lingqingka (China), Isuzu Reward, Chevrolet N-Series, HICOM Perkasa",Japan,Columbia
Chevrolet,Chevrolet N-Series,,Light,COE,"Isuzu Grafter(United Kingdom), Isuzu Lingqingka (China), Isuzu Reward, Chevrolet NHR, Chevrolet NKR, HICOM Perkasa",Japan,Egypt
Chevrolet,Chevrolet Express Cutaway,,Light,Conventional,GMC Savana,United States,"United States, Canada, Mexico, Middle East"
Chevrolet,Chevrolet FTR,,Medium,COE,-,Japan,Columbia
Chevrolet,Chevrolet FVR,,Heavy,COE,-,Japan,Columbia
Chevrolet,Chevrolet FVZ,,Heavy,COE,-,Japan,Columbia
Chevrolet,Chevrolet CYZ,,Heavy,COE,-,Japan,Columbia
Citroën,Citroën Jumper,,Light,Conventional,"Fiat Ducato, Peugeot Boxer",Italy,"Europe, Middle East, Algeria, South Africa, Morocco, Western Africa"
CCC,CCC LET2,,Medium,COE,CCC LET2 CC,United States,"United States, Canada"
CCC,CCC COE2,,Medium,COE,-,United States,"United States, Canada"
CCC,CCC LOT2,,Medium,COE,-,United States,"United States, Canada"
CNJ,CNJ Fortune,,Light,COE,-,China,China
CNJ,CNJ Ruichi,,Light,COE,-,China,China
DAF Trucks,DAF LF,,Light,COE,-,The Netherlands,"worldwide, except North America and Japan"
DAF Trucks,DAF CF,,Heavy,COE,-,The Netherlands,"Worldwide, except North America and Japan"
DAF Trucks,DAF XF,,Heavy,COE,-,The Netherlands,"Worldwide, except North America and Japan"
Dayun,Dayun CGC1047PB33E3,,Light,COE,Dayun CGC1048PX28E3,China,"China, South East Asia, Middle East, Russia, France, Africa, Cuba, Venezuela, Brazil"
Dayun,Dayun CGC1141,,Heavy,COE,-,China,"China, South East Asia, Middle East, Russia, France, Africa, Cuba, Venezuela, Brazil"
Dayun,Dayun DYX1250,,Heavy,COE,-,China,China
Dayun,Dayun CGC1311,,Heavy,COE,-,China,China
Dayun,Dayun DYX5310,,Heavy,COE,-,China,"China, South East Asia, Middle East, Russia, France, Africa, Cuba, Venezuela, Brazil"
Dina,Dina Hustler,,Light,COE,-,Mexico,"Mexico, Nicaragua, United States, Canada"
Dongfeng,Dongfeng Palawan,,Light,COE,"Nissan Cabstar(Europe, Australia, China), Nissan Atlas H41 Series(Malaysia), UD Kuzer UE Series(Malaysia), Nissan Atlas, Renault Maxity, Renault Samsung SV110, UD Condor, Yue Loong Homer, Isuzu N-Series",Japan,China
Dongfeng,Dongfeng Gold Fighter,,Light,COE,-,China,China
Dongfeng,Dongfeng Chenglong,,Light,COE,-,China,China
Dongfeng,Dongfeng Kang PA,,Light,COE,-,China,China
